group,scheme,cache_capacity,n_sbs,episode,reward,cost,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate,paper_style_hit_rate
fig7,C-epsilon-greedy,20,8,16,18156.00000000,146844.00000000,0.11684848,0.09369697,0.78945455,0.21054545
fig7,C-epsilon-greedy,20,8,17,18066.00000000,146934.00000000,0.11727273,0.08927273,0.79345455,0.20654545
fig7,C-epsilon-greedy,20,8,18,17750.00000000,147250.00000000,0.11793939,0.07703030,0.80503030,0.19496970
fig7,C-epsilon-greedy,20,8,19,17361.00000000,147639.00000000,0.11312121,0.08451515,0.80236364,0.19763636
fig7,C-epsilon-greedy,20,8,20,16592.00000000,148408.00000000,0.10369697,0.09890909,0.79739394,0.20260606
fig7,Thompson,20,8,1,17775.00000000,147225.00000000,0.11993939,0.06978788,0.81027273,0.18972727
fig7,Thompson,20,8,2,17191.00000000,147809.00000000,0.11221212,0.08300000,0.80478788,0.19521212
fig7,Thompson,20,8,3,17598.00000000,147402.00000000,0.11384848,0.08878788,0.79736364,0.20263636
fig7,Thompson,20,8,4,18280.00000000,146720.00000000,0.12048485,0.08290909,0.79660606,0.20339394
fig7,Thompson,20,8,5,18203.00000000,146797.00000000,0.12054545,0.08033333,0.79912121,0.20087879
fig7,Thompson,20,8,6,16856.00000000,148144.00000000,0.10939394,0.08412121,0.80648485,0.19351515
fig7,Thompson,20,8,7,16471.00000000,148529.00000000,0.10869697,0.07524242,0.81606061,0.18393939
fig7,Thompson,20,8,8,17912.00000000,147088.00000000,0.11951515,0.07563636,0.80484848,0.19515152
fig7,Thompson,20,8,9,17714.00000000,147286.00000000,0.11554545,0.08551515,0.79893939,0.20106061
fig7,Thompson,20,8,10,17846.00000000,147154.00000000,0.11342424,0.09800000,0.78857576,0.21142424
fig7,Thompson,20,8,11,16986.00000000,148014.00000000,0.11148485,0.07969697,0.80881818,0.19118182
fig7,Thompson,20,8,12,17222.00000000,147778.00000000,0.11048485,0.09084848,0.79866667,0.20133333
fig7,Thompson,20,8,13,17481.00000000,147519.00000000,0.11354545,0.08645455,0.80000000,0.20000000
fig7,Thompson,20,8,14,17522.00000000,147478.00000000,0.11627273,0.07678788,0.80693939,0.19306061
fig7,Thompson,20,8,15,17294.00000000,147706.00000000,0.11212121,0.08648485,0.80139394,0.19860606
fig7,Thompson,20,8,16,18609.00000000,146391.00000000,0.12012121,0.09433333,0.78554545,0.21445455
fig7,Thompson,20,8,17,18420.00000000,146580.00000000,0.12078788,0.08593939,0.79327273,0.20672727
fig7,Thompson,20,8,18,18007.00000000,146993.00000000,0.12145455,0.07075758,0.80778788,0.19221212
fig7,Thompson,20,8,19,17395.00000000,147605.00000000,0.11527273,0.07693939,0.80778788,0.19221212
fig7,Thompson,20,8,20,17602.00000000,147398.00000000,0.11381818,0.08903030,0.79715152,0.20284848
fig7,BSG-like,20,8,1,17567.00000000,147433.00000000,0.11775758,0.07221212,0.81003030,0.18996970
