time_s,sbs_id,x,y
270.000,5,266.618482,213.384738
270.000,6,228.906601,133.272135
270.000,7,142.516873,223.598598
275.000,0,275.446728,59.608318
275.000,1,288.033499,236.764513
275.000,2,240.422155,166.822330
275.000,3,162.566884,196.901906
275.000,4,151.615370,189.933175
275.000,5,267.871179,205.990095
275.000,6,222.467092,129.427305
275.000,7,145.140353,225.067580
280.000,0,271.815906,53.045763
280.000,1,284.849237,229.974044
280.000,2,234.438981,162.299982
280.000,3,161.160850,204.268932
280.000,4,157.142185,184.863233
280.000,5,263.347897,200.007627
280.000,6,228.146147,124.528496
280.000,7,141.635085,218.437113
285.000,0,268.118430,46.520529
285.000,1,279.808659,224.420435
285.000,2,238.762200,168.428585
285.000,3,167.602222,200.427222
285.000,4,158.946464,180.072553
285.000,5,270.486331,202.308228
285.000,6,225.015425,131.343815
285.000,7,142.509629,212.533755
290.000,0,260.790498,48.117844
290.000,1,283.996814,220.253458
290.000,2,238.543748,160.931767
290.000,3,171.822093,194.227006
290.000,4,159.706635,187.533929
290.000,5,271.062541,194.830395
290.000,6,219.238620,136.126965
290.000,7,145.353263,219.473766
295.000,0,262.303378,46.055231
295.000,1,286.975340,224.708510
295.000,2,239.526440,153.496425
295.000,3,165.747592,196.117448
295.000,4,164.439171,181.715587
295.000,5,268.117318,187.932883
295.000,6,220.315902,143.549193
295.000,7,145.688394,220.694723
300.000,0,258.732652,52.650678
300.000,1,285.513077,220.234793
300.000,2,238.170032,146.120101
300.000,3,163.274209,190.449961
300.000,4,169.056836,175.805666
300.000,5,268.831487,180.466963
300.000,6,217.381333,141.409709
300.000,7,140.853374,226.428185
